flip_angle_fraction_of_nominal,rf_phase_(deg),extension_of_base_TR_ms,extension_of_base_TE_ms
0.0821333333333333,0,0,0
0.0976,180,0,0
0.113066666666667,0,0,0
0.128533333333333,180,0,0
0.143733333333333,0,0,0
0.158933333333333,180,0,0
0.174,0,0,0
0.1888,180,0,0
0.203466666666667,0,0,0
0.218,180,0,0
0.232133333333333,0,0,0
0.246133333333333,180,0,0
0.259866666666667,0,0,0
0.273333333333333,180,0,0
0.286533333333333,0,0,0
0.2992,180,0,0
0.311733333333333,0,0,0
0.323733333333333,180,0,0
0.335466666666667,0,0,0
0.3468,180,0,0
0.3576,0,0,0
0.368,180,0,0
0.378,0,0,0
0.387466666666667,180,0,0
0.396533333333333,0,0,0
0.405066666666667,180,0,0
0.413066666666667,0,0,0
0.420533333333333,180,0,0
0.4276,0,0,0
0.434,180,0,0
0.439866666666667,0,0,0
0.445066666666667,180,0,0
0.449866666666667,0,0,0
0.454,180,0,0
0.4576,0,0,0
0.460533333333333,180,0,0
0.462933333333333,0,0,0
0.4648,180,0,0
0.466,0,0,0
0.466533333333333,180,0,0
0.466533333333333,0,0,0
0.466,180,0,0
0.4648,0,0,0
0.462933333333333,180,0,0
0.460533333333333,0,0,0
0.4576,180,0,0
0.454,0,0,0
0.449866666666667,180,0,0
0.445066666666667,0,0,0
0.439866666666667,180,0,0
0.434,0,0,0
0.4276,180,0,0
0.420533333333333,0,0,0
0.413066666666667,180,0,0
0.405066666666667,0,0,0
0.396533333333333,180,0,0
0.387466666666667,0,0,0
0.378,180,0,0
0.368,0,0,0
0.3576,180,0,0
0.3468,0,0,0
0.335466666666667,180,0,0
0.323733333333333,0,0,0
0.311733333333333,180,0,0
0.2992,0,0,0
0.286533333333333,180,0,0
0.273333333333333,0,0,0
0.259866666666667,180,0,0
0.246133333333333,0,0,0
0.232133333333333,180,0,0
0.218,0,0,0
0.203466666666667,180,0,0
0.1888,0,0,0
0.174,180,0,0
0.158933333333333,0,0,0
0.143733333333333,180,0,0
0.128533333333333,0,0,0
0.113066666666667,180,0,0
0.0976,0,0,0
0.0821333333333333,180,0,0
0.0666666666666667,0,0,0
0,180,0,0
0,0,0,0
0,180,0,0
0,0,0,0
0.0862666666666667,180,0,0
0.105866666666667,0,0,0
0.125466666666667,180,0,0
0.144933333333333,0,0,0
0.164266666666667,180,0,0
0.183466666666667,0,0,0
0.202533333333333,180,0,0
0.221333333333333,0,0,0
0.24,180,0,0
0.258266666666667,0,0,0
0.276266666666667,180,0,0
0.294,0,0,0
0.311466666666667,180,0,0
0.3284,0,0,0
0.345066666666667,180,0,0
0.361333333333333,0,0,0
0.377066666666667,180,0,0
0.3924,0,0,0
0.4072,180,0,0
0.421466666666667,0,0,0
0.4352,180,0,0
0.4484,0,0,0
0.461066666666667,180,0,0
0.473066666666667,0,0,0
0.484533333333333,180,0,0
0.495333333333333,0,0,0
0.505466666666667,180,0,0
0.514933333333333,0,0,0
0.523733333333333,180,0,0
0.531866666666667,0,0,0
0.539333333333333,180,0,0
0.546,0,0,0
0.552,180,0,0
0.557333333333333,0,0,0
0.561866666666667,180,0,0
0.5656,0,0,0
0.568666666666667,180,0,0
0.570933333333333,0,0,0
0.572533333333333,180,0,0
0.5732,0,0,0
0.5732,180,0,0
0.572533333333333,0,0,0
0.570933333333333,180,0,0
0.568666666666667,0,0,0
0.5656,180,0,0
0.561866666666667,0,0,0
0.557333333333333,180,0,0
0.552,0,0,0
0.546,180,0,0
0.539333333333333,0,0,0
0.531866666666667,180,0,0
0.523733333333333,0,0,0
0.514933333333333,180,0,0
