flip_angle_fraction_of_nominal,rf_phase_(deg),extension_of_base_TR_ms,extension_of_base_TE_ms
0.0758666666666667,0,0,0
0.0850666666666667,180,0,0
0.0941333333333333,0,0,0
0.103333333333333,180,0,0
0.1124,0,0,0
0.121466666666667,180,0,0
0.130533333333333,0,0,0
0.1396,180,0,0
0.148666666666667,0,0,0
0.1576,180,0,0
0.166533333333333,0,0,0
0.175333333333333,180,0,0
0.184133333333333,0,0,0
0.192933333333333,180,0,0
0.2016,0,0,0
0.210133333333333,180,0,0
0.218666666666667,0,0,0
0.227066666666667,180,0,0
0.235466666666667,0,0,0
0.243733333333333,180,0,0
0.251866666666667,0,0,0
0.26,180,0,0
0.268,0,0,0
0.275866666666667,180,0,0
0.2836,0,0,0
0.291333333333333,180,0,0
0.2988,0,0,0
0.306266666666667,180,0,0
0.313466666666667,0,0,0
0.320666666666667,180,0,0
0.3276,0,0,0
0.334533333333333,180,0,0
0.341333333333333,0,0,0
0.347866666666667,180,0,0
0.354266666666667,0,0,0
0.360666666666667,180,0,0
0.3668,0,0,0
0.3728,180,0,0
0.378533333333333,0,0,0
0.384266666666667,180,0,0
0.389733333333333,0,0,0
0.395066666666667,180,0,0
0.400266666666667,0,0,0
0.4052,180,0,0
0.41,0,0,0
0.414533333333333,180,0,0
0.419066666666667,0,0,0
0.423333333333333,180,0,0
0.427333333333333,0,0,0
0.4312,180,0,0
0.434933333333333,0,0,0
0.4384,180,0,0
0.4416,0,0,0
0.4448,180,0,0
0.4476,0,0,0
0.4504,180,0,0
0.4528,0,0,0
0.455066666666667,180,0,0
0.4572,0,0,0
0.459066666666667,180,0,0
0.4608,0,0,0
0.462266666666667,180,0,0
0.463466666666667,0,0,0
0.464533333333333,180,0,0
0.465333333333333,0,0,0
0.466,180,0,0
0.4664,0,0,0
0.466666666666667,180,0,0
0.466666666666667,0,0,0
0.4664,180,0,0
0.466,0,0,0
0.465333333333333,180,0,0
0.464533333333333,0,0,0
0.463466666666667,180,0,0
0.462266666666667,0,0,0
0.4608,180,0,0
0.459066666666667,0,0,0
0.4572,180,0,0
0.455066666666667,0,0,0
0.4528,180,0,0
0.4504,0,0,0
0.4476,180,0,0
0.4448,0,0,0
0.4416,180,0,0
0.4384,0,0,0
0.434933333333333,180,0,0
0.4312,0,0,0
0.427333333333333,180,0,0
0.423333333333333,0,0,0
0.419066666666667,180,0,0
0.414533333333333,0,0,0
0.41,180,0,0
0.4052,0,0,0
0.400266666666667,180,0,0
0.395066666666667,0,0,0
0.389733333333333,180,0,0
0.384266666666667,0,0,0
0.378533333333333,180,0,0
0.3728,0,0,0
0.3668,180,0,0
0.360666666666667,0,0,0
0.354266666666667,180,0,0
0.347866666666667,0,0,0
0.341333333333333,180,0,0
0.334533333333333,0,0,0
0.3276,180,0,0
0.320666666666667,0,0,0
0.313466666666667,180,0,0
0.306266666666667,0,0,0
0.2988,180,0,0
0.291333333333333,0,0,0
0.2836,180,0,0
0.275866666666667,0,0,0
0.268,180,0,0
0.26,0,0,0
0.251866666666667,180,0,0
0.243733333333333,0,0,0
0.235466666666667,180,0,0
0.227066666666667,0,0,0
0.218666666666667,180,0,0
0.210133333333333,0,0,0
0.2016,180,0,0
0.192933333333333,0,0,0
0.184133333333333,180,0,0
0.175333333333333,0,0,0
0.166533333333333,180,0,0
0.1576,0,0,0
0.148666666666667,180,0,0
0.1396,0,0,0
0.130533333333333,180,0,0
0.121466666666667,0,0,0
0.1124,180,0,0
0.103333333333333,0,0,0
0.0941333333333333,180,0,0
0.0850666666666667,0,0,0
0.0758666666666667,180,0,0
0.0666666666666667,0,0,0
0,180,0,0
0,0,0,0
0,180,0,0
0,0,0,0
0,180,0,0
0,0,0,0
0.0782666666666667,180,0,0
0.0898666666666667,0,0,0
0.101466666666667,180,0,0
0.113066666666667,0,0,0
0.124666666666667,180,0,0
0.136133333333333,0,0,0
0.1476,180,0,0
0.159066666666667,0,0,0
0.170533333333333,180,0,0
0.181866666666667,0,0,0
0.193066666666667,180,0,0
0.2044,0,0,0
0.215466666666667,180,0,0
0.226533333333333,0,0,0
0.237466666666667,180,0,0
0.2484,0,0,0
0.2592,180,0,0
0.269866666666667,0,0,0
0.280533333333333,180,0,0
0.290933333333333,0,0,0
0.301333333333333,180,0,0
0.3116,0,0,0
0.321733333333333,180,0,0
0.3316,0,0,0
0.341466666666667,180,0,0
0.3512,0,0,0
0.360666666666667,180,0,0
0.370133333333333,0,0,0
0.379333333333333,180,0,0
0.3884,0,0,0
0.3972,180,0,0
0.406,0,0,0
0.414533333333333,180,0,0
0.422933333333333,0,0,0
0.431066666666667,180,0,0
0.439066666666667,0,0,0
0.4468,180,0,0
0.4544,0,0,0
0.461733333333333,180,0,0
0.468933333333333,0,0,0
0.475866666666667,180,0,0
0.482666666666667,0,0,0
0.4892,180,0,0
0.495466666666667,0,0,0
0.501466666666667,180,0,0
0.507333333333333,0,0,0
0.512933333333333,180,0,0
0.5184,0,0,0
0.523466666666667,180,0,0
0.5284,0,0,0
0.533066666666667,180,0,0
0.537466666666667,0,0,0
0.5416,180,0,0
0.5456,0,0,0
0.5492,180,0,0
0.552666666666667,0,0,0
0.555866666666667,180,0,0
0.558666666666667,0,0,0
0.561333333333333,180,0,0
0.563733333333333,0,0,0
0.565866666666667,180,0,0
0.567733333333333,0,0,0
0.569333333333333,180,0,0
0.570666666666667,0,0,0
0.571733333333333,180,0,0
0.572533333333333,0,0,0
0.573066666666667,180,0,0
0.573333333333333,0,0,0
