flip_angle_fraction_of_nominal,rf_phase_(deg),extension_of_base_TR_ms,extension_of_base_TE_ms
0.0777333333333333,0,0,0
0.0889333333333333,180,0,0
0.1,0,0,0
0.111066666666667,180,0,0
0.122133333333333,0,0,0
0.133066666666667,180,0,0
0.144,0,0,0
0.154933333333333,180,0,0
0.165733333333333,0,0,0
0.1764,180,0,0
0.187066666666667,0,0,0
0.1976,180,0,0
0.208133333333333,0,0,0
0.2184,180,0,0
0.228666666666667,0,0,0
0.2388,180,0,0
0.2488,0,0,0
0.258533333333333,180,0,0
0.268266666666667,0,0,0
0.277733333333333,180,0,0
0.2872,0,0,0
0.2964,180,0,0
0.305333333333333,0,0,0
0.314133333333333,180,0,0
0.3228,0,0,0
0.331333333333333,180,0,0
0.339466666666667,0,0,0
0.3476,180,0,0
0.355333333333333,0,0,0
0.362933333333333,180,0,0
0.370266666666667,0,0,0
0.377466666666667,180,0,0
0.384266666666667,0,0,0
0.390933333333333,180,0,0
0.397333333333333,0,0,0
0.403466666666667,180,0,0
0.409333333333333,0,0,0
0.414933333333333,180,0,0
0.420266666666667,0,0,0
0.425333333333333,180,0,0
0.430133333333333,0,0,0
0.434666666666667,180,0,0
0.4388,0,0,0
0.4428,180,0,0
0.4464,0,0,0
0.449733333333333,180,0,0
0.4528,0,0,0
0.4556,180,0,0
0.458,0,0,0
0.460133333333333,180,0,0
0.462,0,0,0
0.4636,180,0,0
0.4648,0,0,0
0.465733333333333,180,0,0
0.466266666666667,0,0,0
0.466666666666667,180,0,0
0.466666666666667,0,0,0
0.466266666666667,180,0,0
0.465733333333333,0,0,0
0.4648,180,0,0
0.4636,0,0,0
0.462,180,0,0
0.460133333333333,0,0,0
0.458,180,0,0
0.4556,0,0,0
0.4528,180,0,0
0.449733333333333,0,0,0
0.4464,180,0,0
0.4428,0,0,0
0.4388,180,0,0
0.434666666666667,0,0,0
0.430133333333333,180,0,0
0.425333333333333,0,0,0
0.420266666666667,180,0,0
0.414933333333333,0,0,0
0.409333333333333,180,0,0
0.403466666666667,0,0,0
0.397333333333333,180,0,0
0.390933333333333,0,0,0
0.384266666666667,180,0,0
0.377466666666667,0,0,0
0.370266666666667,180,0,0
0.362933333333333,0,0,0
0.355333333333333,180,0,0
0.3476,0,0,0
0.339466666666667,180,0,0
0.331333333333333,0,0,0
0.3228,180,0,0
0.314133333333333,0,0,0
0.305333333333333,180,0,0
0.2964,0,0,0
0.2872,180,0,0
0.277733333333333,0,0,0
0.268266666666667,180,0,0
0.258533333333333,0,0,0
0.2488,180,0,0
0.2388,0,0,0
0.228666666666667,180,0,0
