flip_angle_fraction_of_nominal,rf_phase_(deg),extension_of_base_TR_ms,extension_of_base_TE_ms
0.0788,0,0,0
0.0910666666666667,180,0,0
0.1032,0,0,0
0.115333333333333,180,0,0
0.127466666666667,0,0,0
0.139466666666667,180,0,0
0.151466666666667,0,0,0
0.163333333333333,180,0,0
0.175066666666667,0,0,0
0.1868,180,0,0
0.1984,0,0,0
0.209866666666667,180,0,0
0.2212,0,0,0
0.232266666666667,180,0,0
0.243333333333333,0,0,0
0.254266666666667,180,0,0
0.264933333333333,0,0,0
0.275466666666667,180,0,0
0.285733333333333,0,0,0
0.295866666666667,180,0,0
0.305733333333333,0,0,0
0.315333333333333,180,0,0
0.3248,0,0,0
0.334,180,0,0
0.342933333333333,0,0,0
0.3516,180,0,0
0.360133333333333,0,0,0
0.368266666666667,180,0,0
0.376133333333333,0,0,0
0.383733333333333,180,0,0
0.390933333333333,0,0,0
0.398,180,0,0
0.404666666666667,0,0,0
0.411066666666667,180,0,0
0.417066666666667,0,0,0
0.4228,180,0,0
0.428133333333333,0,0,0
0.4332,180,0,0
0.438,0,0,0
0.442266666666667,180,0,0
0.446266666666667,0,0,0
0.45,180,0,0
0.453333333333333,0,0,0
0.456266666666667,180,0,0
0.4588,0,0,0
0.461066666666667,180,0,0
0.462933333333333,0,0,0
0.4644,180,0,0
0.465466666666667,0,0,0
0.466266666666667,180,0,0
0.466666666666667,0,0,0
0.466666666666667,180,0,0
0.466266666666667,0,0,0
0.465466666666667,180,0,0
0.4644,0,0,0
0.462933333333333,180,0,0
0.461066666666667,0,0,0
0.4588,180,0,0
0.456266666666667,0,0,0
0.453333333333333,180,0,0
0.45,0,0,0
0.446266666666667,180,0,0
0.442266666666667,0,0,0
0.438,180,0,0
0.4332,0,0,0
0.428133333333333,180,0,0
0.4228,0,0,0
0.417066666666667,180,0,0
0.411066666666667,0,0,0
0.404666666666667,180,0,0
0.398,0,0,0
0.390933333333333,180,0,0
0.383733333333333,0,0,0
0.376133333333333,180,0,0
0.368266666666667,0,0,0
0.360133333333333,180,0,0
0.3516,0,0,0
0.342933333333333,180,0,0
0.334,0,0,0
0.3248,180,0,0
0.315333333333333,0,0,0
0.305733333333333,180,0,0
0.295866666666667,0,0,0
0.285733333333333,180,0,0
0.275466666666667,0,0,0
0.264933333333333,180,0,0
0.254266666666667,0,0,0
0.243333333333333,180,0,0
0.232266666666667,0,0,0
0.2212,180,0,0
0.209866666666667,0,0,0
0.1984,180,0,0
0.1868,0,0,0
0.175066666666667,180,0,0
0.163333333333333,0,0,0
0.151466666666667,180,0,0
0.139466666666667,0,0,0
0.127466666666667,180,0,0
0.115333333333333,0,0,0
0.1032,180,0,0
0.0910666666666667,0,0,0
0.0788,180,0,0
0.0666666666666667,0,0,0
0,180,0,0
0,0,0,0
0,180,0,0
0,0,0,0
0,180,0,0
0.0821333333333333,0,0,0
0.0976,180,0,0
0.112933333333333,0,0,0
0.128266666666667,180,0,0
0.1436,0,0,0
0.158933333333333,180,0,0
0.174,0,0,0
0.189066666666667,180,0,0
0.204,0,0,0
0.2188,180,0,0
0.233466666666667,0,0,0
0.248,180,0,0
0.2624,0,0,0
0.276533333333333,180,0,0
0.290533333333333,0,0,0
0.304266666666667,180,0,0
0.317733333333333,0,0,0
0.331066666666667,180,0,0
0.344133333333333,0,0,0
0.356933333333333,180,0,0
0.369466666666667,0,0,0
0.381733333333333,180,0,0
0.3936,0,0,0
0.405333333333333,180,0,0
0.416666666666667,0,0,0
0.4276,180,0,0
0.438266666666667,0,0,0
0.448666666666667,180,0,0
0.458666666666667,0,0,0
0.468266666666667,180,0,0
0.477466666666667,0,0,0
0.486266666666667,180,0,0
0.4948,0,0,0
0.5028,180,0,0
0.510533333333333,0,0,0
0.517733333333333,180,0,0
0.524533333333333,0,0,0
0.530933333333333,180,0,0
0.536933333333333,0,0,0
0.542533333333333,180,0,0
0.5476,0,0,0
0.552266666666667,180,0,0
0.5564,0,0,0
0.560133333333333,180,0,0
0.563466666666667,0,0,0
0.566266666666667,180,0,0
0.568533333333333,0,0,0
0.5704,180,0,0
0.571866666666667,0,0,0
0.5728,180,0,0
0.573333333333333,0,0,0
0.573333333333333,180,0,0
0.5728,0,0,0
0.571866666666667,180,0,0
0.5704,0,0,0
0.568533333333333,180,0,0
0.566266666666667,0,0,0
0.563466666666667,180,0,0
0.560133333333333,0,0,0
0.5564,180,0,0
0.552266666666667,0,0,0
0.5476,180,0,0
0.542533333333333,0,0,0
0.536933333333333,180,0,0
0.530933333333333,0,0,0
0.524533333333333,180,0,0
0.517733333333333,0,0,0
0.510533333333333,180,0,0
0.5028,0,0,0
0.4948,180,0,0
0.486266666666667,0,0,0
0.477466666666667,180,0,0
0.468266666666667,0,0,0
0.458666666666667,180,0,0
0.448666666666667,0,0,0
0.438266666666667,180,0,0
0.4276,0,0,0
0.416666666666667,180,0,0
0.405333333333333,0,0,0
0.3936,180,0,0
0.381733333333333,0,0,0
0.369466666666667,180,0,0
0.356933333333333,0,0,0
0.344133333333333,180,0,0
0.331066666666667,0,0,0
0.317733333333333,180,0,0
0.304266666666667,0,0,0
0.290533333333333,180,0,0
0.276533333333333,0,0,0
0.2624,180,0,0
0.248,0,0,0
0.233466666666667,180,0,0
0.2188,0,0,0
0.204,180,0,0
0.189066666666667,0,0,0
0.174,180,0,0
0.158933333333333,0,0,0
0.1436,180,0,0
0.128266666666667,0,0,0
0.112933333333333,180,0,0
0.0976,0,0,0
0.0821333333333333,180,0,0
0.0666666666666667,0,0,0
0,180,0,0
0,0,0,0
0,180,0,0
0,0,0,0
0,180,0,0
0.0930666666666667,0,0,0
0.119466666666667,180,0,0
0.145866666666667,0,0,0
0.172133333333333,180,0,0
0.198266666666667,0,0,0
0.2244,180,0,0
0.250266666666667,0,0,0
0.276,180,0,0
0.3016,0,0,0
0.326933333333333,180,0,0
0.352,0,0,0
0.3768,180,0,0
0.401333333333333,0,0,0
0.4256,180,0,0
0.449466666666667,0,0,0
0.473066666666667,180,0,0
0.496133333333333,0,0,0
0.518933333333333,180,0,0
0.541333333333333,0,0,0
0.5632,180,0,0
0.584533333333333,0,0,0
0.6056,180,0,0
0.626,0,0,0
0.645866666666667,180,0,0
0.665333333333333,0,0,0
0.684133333333333,180,0,0
0.7024,0,0,0
0.720133333333333,180,0,0
0.737066666666667,0,0,0
0.7536,180,0,0
0.769333333333333,0,0,0
0.784533333333333,180,0,0
0.798933333333333,0,0,0
0.8128,180,0,0
0.825866666666667,0,0,0
0.838266666666667,180,0,0
0.85,0,0,0
0.860933333333333,180,0,0
0.871066666666667,0,0,0
0.880533333333333,180,0,0
0.8892,0,0,0
0.8972,180,0,0
0.9044,0,0,0
0.9108,180,0,0
0.9164,0,0,0
0.9212,180,0,0
0.9252,0,0,0
0.9284,180,0,0
0.9308,0,0,0
0.9324,180,0,0
0.9332,0,0,0
0.9332,180,0,0
0.9324,0,0,0
0.9308,180,0,0
0.9284,0,0,0
0.9252,180,0,0
0.9212,0,0,0
0.9164,180,0,0
0.9108,0,0,0
0.9044,180,0,0
0.8972,0,0,0
0.8892,180,0,0
0.880533333333333,0,0,0
0.871066666666667,180,0,0
0.860933333333333,0,0,0
0.85,180,0,0
0.838266666666667,0,0,0
0.825866666666667,180,0,0
0.8128,0,0,0
0.798933333333333,180,0,0
0.784533333333333,0,0,0
0.769333333333333,180,0,0
0.7536,0,0,0
0.737066666666667,180,0,0
0.720133333333333,0,0,0
0.7024,180,0,0
0.684133333333333,0,0,0
0.665333333333333,180,0,0
0.645866666666667,0,0,0
0.626,180,0,0
0.6056,0,0,0
0.584533333333333,180,0,0
0.5632,0,0,0
0.541333333333333,180,0,0
0.518933333333333,0,0,0
0.496133333333333,180,0,0
0.473066666666667,0,0,0
0.449466666666667,180,0,0
0.4256,0,0,0
0.401333333333333,180,0,0
0.3768,0,0,0
0.352,180,0,0
0.326933333333333,0,0,0
0.3016,180,0,0
0.276,0,0,0
0.250266666666667,180,0,0
0.2244,0,0,0
0.198266666666667,180,0,0
0.172133333333333,0,0,0
0.145866666666667,180,0,0
0.119466666666667,0,0,0
0.0930666666666667,180,0,0
0.0666666666666667,0,0,0
0,180,0,0
0,0,0,0
0,180,0,0
0,0,0,0
0,180,0,0
0.0829333333333333,0,0,0
0.0992,180,0,0
0.115466666666667,0,0,0
0.1316,180,0,0
0.147733333333333,0,0,0
0.163733333333333,180,0,0
0.179733333333333,0,0,0
0.195466666666667,180,0,0
0.2112,0,0,0
