flip_angle_fraction_of_nominal,rf_phase_(deg),extension_of_base_TR_ms,extension_of_base_TE_ms
0.0766666666666667,0,0,0
0.0866666666666667,180,0,0
0.0965333333333333,0,0,0
0.106533333333333,180,0,0
0.1164,0,0,0
0.126266666666667,180,0,0
0.136133333333333,0,0,0
0.145866666666667,180,0,0
0.155733333333333,0,0,0
0.165333333333333,180,0,0
0.175066666666667,0,0,0
0.184533333333333,180,0,0
0.194,0,0,0
0.203466666666667,180,0,0
0.2128,0,0,0
0.222,180,0,0
0.2312,0,0,0
0.240266666666667,180,0,0
0.2492,0,0,0
0.258,180,0,0
0.266666666666667,0,0,0
0.2752,180,0,0
0.283733333333333,0,0,0
0.292,180,0,0
0.300133333333333,0,0,0
0.308133333333333,180,0,0
0.316,0,0,0
0.323733333333333,180,0,0
0.331333333333333,0,0,0
0.3388,180,0,0
0.346,0,0,0
0.353066666666667,180,0,0
0.359866666666667,0,0,0
0.366533333333333,180,0,0
0.373066666666667,0,0,0
0.379333333333333,180,0,0
0.385466666666667,0,0,0
0.391466666666667,180,0,0
0.3972,0,0,0
0.402666666666667,180,0,0
0.408,0,0,0
0.413066666666667,180,0,0
0.418,0,0,0
0.422666666666667,180,0,0
0.427066666666667,0,0,0
0.431333333333333,180,0,0
0.4352,0,0,0
0.439066666666667,180,0,0
0.442533333333333,0,0,0
0.445866666666667,180,0,0
0.448933333333333,0,0,0
0.451733333333333,180,0,0
0.454266666666667,0,0,0
0.456666666666667,180,0,0
0.4588,0,0,0
0.460533333333333,180,0,0
0.462133333333333,0,0,0
0.4636,180,0,0
0.464666666666667,0,0,0
0.4656,180,0,0
0.466133333333333,0,0,0
0.466533333333333,180,0,0
0.466666666666667,0,0,0
0.466533333333333,180,0,0
0.466133333333333,0,0,0
0.4656,180,0,0
0.464666666666667,0,0,0
0.4636,180,0,0
0.462133333333333,0,0,0
0.460533333333333,180,0,0
0.4588,0,0,0
0.456666666666667,180,0,0
0.454266666666667,0,0,0
0.451733333333333,180,0,0
0.448933333333333,0,0,0
0.445866666666667,180,0,0
0.442533333333333,0,0,0
0.439066666666667,180,0,0
0.4352,0,0,0
0.431333333333333,180,0,0
0.427066666666667,0,0,0
0.422666666666667,180,0,0
0.418,0,0,0
0.413066666666667,180,0,0
0.408,0,0,0
0.402666666666667,180,0,0
0.3972,0,0,0
0.391466666666667,180,0,0
0.385466666666667,0,0,0
0.379333333333333,180,0,0
0.373066666666667,0,0,0
0.366533333333333,180,0,0
0.359866666666667,0,0,0
0.353066666666667,180,0,0
0.346,0,0,0
0.3388,180,0,0
0.331333333333333,0,0,0
0.323733333333333,180,0,0
0.316,0,0,0
0.308133333333333,180,0,0
0.300133333333333,0,0,0
0.292,180,0,0
0.283733333333333,0,0,0
